Zip,Population,County,State,WiredCount_2020,Fwcount_2020,AllProviderCount_2020,Wired25_3_2020,Wired100_3_2020,All25_3_2020,All100_3,TestCount,AverageMbps,FastestAverageMbps,%Access to Terrestrial Broadband,Lowest Priced Terrestrial Broadband Plan,WiredCount_2015,Fwcount_2015,AllProviderCount_2015,Wired25_3_2015,Wired100_3_2015,All25_3_2015,All100_3
29105,1514,Aiken,South Carolina,2,1,8,1,1,3,2,47,4.71,10.23,9%,NULL,1,0,3,0,0,0,0
29129,3164,Aiken,South Carolina,5,1,11,2,2,4,3,759,9.16,14.56,3%,39.99,3,0,5,1,1,1,1
29137,2539,Aiken,South Carolina,4,1,10,1,1,3,2,22,4.34,6.1,3%,39.99,3,0,5,1,1,1,1
29164,4690,Aiken,South Carolina,4,0,9,2,2,4,3,1147,5.69,9.68,35%,39.99,4,0,6,2,2,2,2
29801,26778,Aiken,South Carolina,7,0,12,7,6,9,7,16850,197.4,615.83,92%,35,4,0,6,4,2,4,2
29803,36843,Aiken,South Carolina,7,0,12,6,6,8,7,18531,110.49,345.12,86%,35,5,0,7,4,2,4,2
29805,5864,Aiken,South Carolina,5,0,10,4,4,6,5,4,11.7,16.45,68%,35,4,0,6,2,1,2,1
29809,2206,Aiken,South Carolina,6,0,11,4,4,6,5,2,1.39,1.39,21%,35,2,0,4,1,1,1,1
29828,1003,Aiken,South Carolina,3,0,8,1,1,3,2,2,20.42,20.42,44%,39.99,2,0,4,1,1,1,1
29829,8651,Aiken,South Carolina,6,0,11,4,4,6,5,1981,95.69,275.06,61%,35,3,0,5,2,2,2,2
29831,4146,Aiken,South Carolina,5,0,10,2,2,4,3,0,0,0,51%,39.99,4,0,6,2,2,2,2
29841,32494,Aiken,South Carolina,7,0,12,7,6,9,7,14763,84.48,180.43,100%,35,5,0,7,5,3,5,3
29842,7675,Aiken,South Carolina,6,0,11,5,5,7,6,713,96.65,117.4,99%,35,3,0,5,2,2,2,2
29851,7524,Aiken,South Carolina,7,0,12,5,4,7,5,1559,21.24,77.26,98%,35,4,0,6,3,2,3,2
29856,3255,Aiken,South Carolina,3,0,8,2,0,4,1,114,57.77,302.12,55%,55,3,0,5,0,0,0,0
55748,1476,Aitkin,Minnesota,3,0,8,2,0,4,0,117,17,50.24,82%,54.95,4,0,5,4,2,4,2
55752,395,Aitkin,Minnesota,2,1,8,1,1,3,1,4,16.69,39.89,4%,60,1,0,2,1,1,1,1
55760,3108,Aitkin,Minnesota,2,1,8,1,0,3,0,1383,14.54,43.66,27%,54.95,3,0,4,2,0,2,0
55785,263,Aitkin,Minnesota,3,0,8,2,1,4,1,226,9.29,20.87,30%,NULL,3,0,4,0,0,0,0
55787,525,Aitkin,Minnesota,2,0,7,1,0,3,0,228,7.71,23.11,13%,54.95,2,0,3,1,0,1,0
56350,570,Aitkin,Minnesota,2,0,7,1,1,3,1,10,18.43,38.15,0%,69.99,1,0,2,0,0,0,0
56431,8931,Aitkin,Minnesota,8,0,13,7,6,9,6,981,58.7,210.75,67%,50,5,1,7,2,1,2,1
