Zip,Population,County,State,WiredCount_2020,Fwcount_2020,AllProviderCount_2020,Wired25_3_2020,Wired100_3_2020,All25_3_2020,All100_3,TestCount,AverageMbps,FastestAverageMbps,%Access to Terrestrial Broadband,Lowest Priced Terrestrial Broadband Plan,WiredCount_2015,Fwcount_2015,AllProviderCount_2015,Wired25_3_2015,Wired100_3_2015,All25_3_2015,All100_3.1
70661,2309.0,Calcasieu,Louisiana,2.0,0.0,8.0,2.0,1.0,4.0,2.0,6.0,11.75,16.98,10%,40.0,2.0,0.0,4.0,1.0,1.0,1.0,1.0
70663,28150.0,Calcasieu,Louisiana,9.0,2.0,17.0,7.0,5.0,10.0,6.0,12087.0,103.14,220.53,100%,25.0,6.0,1.0,9.0,2.0,2.0,2.0,2.0
70665,10743.0,Calcasieu,Louisiana,9.0,2.0,17.0,4.0,4.0,6.0,5.0,3518.0,41.21,91.74,44%,25.0,7.0,1.0,10.0,3.0,2.0,3.0,2.0
70668,6424.0,Calcasieu,Louisiana,5.0,1.0,12.0,3.0,2.0,5.0,3.0,244.0,17.09,39.28,81%,25.0,4.0,0.0,6.0,2.0,2.0,2.0,2.0
70669,10131.0,Calcasieu,Louisiana,5.0,1.0,12.0,3.0,3.0,5.0,4.0,6153.0,44.17,108.81,99%,25.0,4.0,1.0,7.0,2.0,2.0,2.0,2.0
42411,1656.0,Caldwell,Kentucky,4.0,4.0,13.0,2.0,1.0,4.0,1.0,32.0,6.55,11.2,59%,66.95,2.0,1.0,5.0,1.0,0.0,1.0,0.0
42445,11331.0,Caldwell,Kentucky,4.0,4.0,13.0,2.0,2.0,4.0,2.0,903.0,22.98,47.16,77%,69.99,2.0,1.0,5.0,0.0,0.0,0.0,0.0
71441,618.0,Caldwell,Louisiana,2.0,1.0,8.0,0.0,0.0,2.0,0.0,,,,0%,,1.0,0.0,3.0,0.0,0.0,0.0,0.0
71418,6295.0,Caldwell,Louisiana,5.0,1.0,11.0,4.0,2.0,6.0,2.0,401.0,9.59,23.83,60%,55.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0
71435,3979.0,Caldwell,Louisiana,4.0,1.0,10.0,1.0,1.0,3.0,1.0,24.0,102.1,260.87,48%,55.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0
64429,13158.0,Caldwell,Missouri,5.0,2.0,12.0,4.0,3.0,6.0,3.0,1847.0,43.71,139.53,75%,49.95,4.0,2.0,7.0,3.0,2.0,3.0,2.0
64624,1662.0,Caldwell,Missouri,3.0,0.0,8.0,1.0,1.0,3.0,2.0,34.0,12.12,31.35,14%,84.99,3.0,1.0,5.0,0.0,0.0,0.0,0.0
64625,644.0,Caldwell,Missouri,3.0,0.0,8.0,1.0,1.0,3.0,1.0,62.0,19.89,37.99,98%,84.99,2.0,0.0,3.0,0.0,0.0,0.0,0.0
64637,667.0,Caldwell,Missouri,3.0,1.0,9.0,1.0,1.0,3.0,2.0,175.0,8.44,14.17,32%,84.99,3.0,1.0,5.0,0.0,0.0,0.0,0.0
64644,3024.0,Caldwell,Missouri,3.0,1.0,9.0,2.0,1.0,4.0,1.0,49.0,14.14,42.67,19%,84.99,3.0,1.0,5.0,0.0,0.0,0.0,0.0
64649,864.0,Caldwell,Missouri,2.0,1.0,8.0,1.0,1.0,3.0,1.0,2.0,25.61,27.19,1%,49.95,1.0,2.0,4.0,0.0,0.0,0.0,0.0
64650,727.0,Caldwell,Missouri,3.0,3.0,11.0,2.0,1.0,4.0,1.0,201.0,12.11,31.37,69%,84.99,3.0,1.0,5.0,1.0,1.0,1.0,1.0
64671,2062.0,Caldwell,Missouri,3.0,2.0,10.0,2.0,1.0,4.0,2.0,865.0,11.28,22.33,66%,84.99,3.0,1.0,5.0,0.0,0.0,0.0,0.0
28611,885.0,Caldwell,North Carolina,3.0,1.0,9.0,2.0,2.0,4.0,3.0,,,,52%,35.0,4.0,1.0,7.0,1.0,1.0,1.0,1.0
28633,,Caldwell,North Carolina,,,,,,,,,,,,,,,,,,,
28630,20041.0,Caldwell,North Carolina,5.0,2.0,12.0,5.0,4.0,8.0,5.0,1646.0,78.23,215.96,99%,55.0,3.0,2.0,7.0,2.0,1.0,2.0,1.0
28638,12302.0,Caldwell,North Carolina,6.0,2.0,13.0,6.0,5.0,9.0,6.0,2530.0,141.44,223.88,100%,35.0,3.0,2.0,7.0,2.0,1.0,2.0,1.0
28645,47703.0,Caldwell,North Carolina,8.0,2.0,15.0,7.0,7.0,10.0,8.0,18668.0,100.18,218.17,98%,35.0,4.0,2.0,8.0,3.0,2.0,3.0,2.0
78616,7092.0,Caldwell,Texas,7.0,9.0,23.0,5.0,4.0,9.0,5.0,719.0,9.37,17.56,100%,35.0,4.0,2.0,7.0,1.0,1.0,2.0,1.0
78644,17081.0,Caldwell,Texas,8.0,9.0,24.0,7.0,6.0,13.0,7.0,5703.0,81.43,126.78,100%,29.95,4.0,3.0,8.0,3.0,3.0,4.0,3.0
78648,7683.0,Caldwell,Texas,6.0,7.0,20.0,4.0,4.0,8.0,5.0,169.0,11.44,19.33,100%,35.99,4.0,1.0,6.0,2.0,2.0,3.0,2.0
78655,2739.0,Caldwell,Texas,2.0,5.0,13.0,1.0,1.0,5.0,2.0,32.0,26.64,54.7,100%,69.99,2.0,1.0,4.0,1.0,1.0,2.0,1.0
78656,2271.0,Caldwell,Texas,3.0,7.0,16.0,2.0,2.0,6.0,3.0,70.0,8.72,18.43,100%,69.99,3.0,2.0,6.0,1.0,1.0,2.0,1.0
05042,605.0,Caledonia,Vermont,2.0,3.0,9.0,2.0,1.0,4.0,1.0,,,,68%,74.99,6.0,2.0,10.0,1.0,1.0,1.0,1.0
05867,899.0,Caledonia,Vermont,2.0,3.0,9.0,2.0,2.0,4.0,2.0,,,,66%,74.99,7.0,2.0,11.0,1.0,1.0,1.0,1.0
05046,1139.0,Caledonia,Vermont,2.0,4.0,10.0,1.0,1.0,3.0,1.0,6026.0,8.79,16.87,64%,69.99,2.0,3.0,7.0,1.0,1.0,1.0,1.0
05069,555.0,Caledonia,Vermont,2.0,2.0,8.0,1.0,1.0,3.0,1.0,2.0,1.24,1.24,88%,69.99,2.0,2.0,6.0,1.0,1.0,1.0,1.0
05819,9444.0,Caledonia,Vermont,2.0,3.0,10.0,2.0,2.0,4.0,2.0,6430.0,85.2,242.2,93%,69.99,2.0,2.0,6.0,1.0,1.0,1.0,1.0
05821,1269.0,Caledonia,Vermont,2.0,4.0,10.0,2.0,1.0,4.0,1.0,86.0,73.17,113.43,57%,69.99,2.0,3.0,7.0,1.0,1.0,1.0,1.0
05828,1928.0,Caledonia,Vermont,2.0,4.0,11.0,2.0,1.0,4.0,1.0,1696.0,41.69,96.22,88%,69.99,2.0,3.0,7.0,1.0,1.0,1.0,1.0
05832,982.0,Caledonia,Vermont,2.0,3.0,9.0,2.0,1.0,4.0,1.0,48.0,1.47,2.37,85%,69.99,2.0,2.0,6.0,1.0,1.0,1.0,1.0
05836,1068.0,Caledonia,Vermont,2.0,4.0,10.0,2.0,1.0,4.0,1.0,400.0,20.78,37.7,60%,79.99,2.0,3.0,7.0,1.0,1.0,1.0,1.0
